card_id,disp_id,type,issued
177,1056,Diamond,2022-11-19
632,4069,Diamond,2022-11-19
445,2820,Diamond,2022-11-19
1001,9247,Diamond,2022-11-20
257,1589,Diamond,2022-11-20
178,1057,Diamond,2022-11-21
704,4553,Diamond,2022-11-21
56,339,Diamond,2022-11-22
148,834,Diamond,2022-11-22
392,2496,Diamond,2022-11-22
523,3319,Sliver,2022-11-23
1175,12494,Diamond,2022-11-24
466,2998,Diamond,2022-11-25
500,3192,Diamond,2022-11-26
4,42,Diamond,2022-11-26
388,2488,Sliver,2022-11-26
164,992,Diamond,2022-11-29
489,3135,Diamond,2022-11-29
626,3992,Diamond,2022-11-30
1169,12354,Diamond,2022-11-30
1137,11771,Diamond,2022-12-01
677,4382,Sliver,2022-12-01
20,131,Diamond,2022-12-02
657,4246,Sliver,2022-12-02
219,1329,Diamond,2022-12-04
819,5978,Diamond,2022-12-06
1177,12535,Diamond,2022-12-06
341,2156,Diamond,2022-12-06
692,4493,Diamond,2022-12-08
715,4639,Sliver,2022-12-08
131,725,Diamond,2022-12-08
201,1223,Diamond,2022-12-08
605,3874,Diamond,2022-12-11
306,1929,Diamond,2022-12-11
378,2430,Diamond,2022-12-11
549,3504,Diamond,2022-12-12
371,2388,Diamond,2022-12-13
147,826,Sliver,2022-12-13
527,3348,Sliver,2022-12-14
172,1030,Diamond,2022-12-14
886,7325,Diamond,2022-12-15
479,3085,Diamond,2022-12-16
691,4492,Diamond,2022-12-16
560,3577,Diamond,2022-12-17
452,2910,Diamond,2022-12-19
506,3236,Diamond,2022-12-19
735,4772,Diamond,2022-12-19
654,4230,Diamond,2022-12-21
196,1197,Diamond,2022-12-22
473,3063,Diamond,2022-12-22
829,6255,Diamond,2022-12-22
310,1947,Sliver,2022-12-23
76,464,Diamond,2022-12-23
573,3638,Diamond,2022-12-23
240,1459,Diamond,2022-12-23
728,4725,Diamond,2022-12-24
924,7862,Diamond,2022-12-24
486,3128,Diamond,2022-12-25
1081,10696,Diamond,2022-12-25
753,4974,Diamond,2022-12-25
442,2796,Diamond,2022-12-26
125,694,Diamond,2022-12-26
674,4360,Diamond,2022-12-28
322,2063,Diamond,2022-12-28
685,4467,Diamond,2022-12-29
635,4083,Diamond,2022-12-29
